English,Hindi
Forge,"फोर्ज, भट्टी"
Forging heat,फोर्जन ऊष्मा
Forging machine,फोर्जन मशीन
Forgings,फोर्जन
"Forgings, upset",अपसेट फोर्जन
Form grinding,प्ररुप अपघर्षण
Form turning,प्ररूप खरादन
Foundation bolt,नींव काबला
Foundry shop,ढलाई शाला
Francis Turbine,फ्रांसिस टरबाइन
Frictional adiabatic flow,घर्षण युक्त रूदोष्म प्रवाह
Frictional damper,घर्षणी अवमंदक
Friction gear,घर्षण-गियर
Frost,तुषार
Fuel Pump,ईधन पम्प
Fuel sensitivity,ईधन सुग्राह्यता
Full annealing,पूर्ण अनीलन
Fuller,फुलर
Fullering,फुलरन
Fultering tool,फुलरन औजार
Full shroyd (gear),पूर्ण परिच्छेद (गरारी)
Furnace,भट्टी
"Furnace, blast","वात्या भट्टी,धमन भट्टी"
Fusible Plug,संगलनीय प्लग
Gagger,गैजर
Galvanized Iron,जस्तेदार लोह
Gang Die,समूह ठप्पा
Gang Drill,समूह बरमा
Gang Edging Machine,समूह कोर कर्तन भशीन
Gang Mill,समूह आरा मशीन
Gang Milling,समूह भ्रमिकर्तन
Gang mould,समूह सांचा
Gang saw,आरा-पुंज
Gang Tool,औजार समूह
Ganister,गैनिस्टर
Gantry Crane,गन्त्री क्रेन
Gases,गैस
Gash,गैश
Gasket,गैसकेट
"Gauge, boring bar cutter",प्रवेधन दण्ड कर्तक प्रमापी
"Gauge, Depth",गभीरता-प्रमापी
"Gauge, drill",बरमा-प्रमापी
"Gauge, feeler or thickness",फीलर प्रमापी
"Gauge, flush-pin",सपाट-पिन प्रमापी
"Gauge, plug","डाट प्रमापी,प्लग प्रमापी"
Gauge pressure,प्रमापी दाब
Gauging,घ्रमापन
"Gauge, working",कार्यकारी प्रमापी
"Gauge, wire",तार-प्रमापी
"Gauging, air",वायु-प्रमापन
"Gauging, indicating",सूचक-प्रमापी
"Gauge, ring",वलय-प्रमापी
"Gauge, Screw thread pitch",पेंंच चूड़ी अन्तराल प्रमापी
"Gauge, snap",स्नैप-प्रमापी
"Gauge, taper",टेपर प्रमाप
Gear,"गरारी,गियर"
"Gear, annular",वलयाकार गरारी
"Bear, bevel",बेवेल गरारी
gear-box,गियर-बॉक्स
gear case,गरारी आवरक
gear cluster,गरारी-गुच्छ
gear cutters,गरारी कर्तक
gear cutting machine,गरारी कर्तन मशीन
"gear, differential",विभेदी गरारी
Gear drive,गियर चालन
Geared headstock,गियरित हैडस्टॉक
geared lathe,गियरित खराद
gear grinding machine,गरारी अपर्घषण मशीन
gearing,गियरन या गियर निकाय
gearing down,गियर-मंदन
gearing up,गियर वर्धन
gear miller,गियर भ्रमिकर्तक
Gear pump,गिर पम्प
Gland follower,ग्लैंड अनुगामी
Gland sealing line,ग्लैंड सील-लाइन
Gravity lubricator,गुरुत्व स्नेहक
Grease lubricator,ग्रीज स्नेहक
Gross head,सकल दाबोच्चता
Guide vanes,निर्देश फलक
Hammer Blow,घनाघात
Head race,आवाही कुल्या
Heat treatment section,ऊष्मा उपचार अनुभाग
Heavy force & shrink fit,भारी बल एवं संकुचन फिट (बहुत अधिक ऋणात्मक छूट)
Helical gear,कुण्डलित गियर
Hit and miss governing,हिट तथा मिस अधि-नियंत्रण
Hydraulic accumulator,द्रवचालित संचायक
Hydraulic Crane,द्रवचालित क्रेन
Hydraulic efficiency,जलीय दक्षता
Hydraulic Intensifier,द्रवचालित तीव्रक
Hydraulic jack,द्रवचालित जेक
Hydraulic lift,द्रवचालित लिफ्ट
Hydraulic machines,द्रवचालित मशीने
Hydraulic Press,द्रवचालित प्रेस
Hydraulic Prime mover,द्रवचालित आदि चालक
Hydrocone,जल शंकु
Hydro dynamics,द्रव-गतिकी
Hydro mechanics,द्रव यांत्रिकी
Hydrostatics,द्रवस्थेतिकी
Hyperboli compression,अतिपरवलयिक संपीडन
Impact extrusion,संघट्ट बहिर्वेधन
Impeller,प्रणोदक
Impulse Turbine,आवेग टरबाइन
In board,अन्तःमुखी
Indicated power,सूचित शक्ति
Indivisual Drive Method,पृथक चालन विधि
Induced draught,प्रेरित प्रवात
Inspection Department,निरीक्षण अनुभाग
Internal energy of Vaporization,वाष्पन की आन्तरिक ऊष्मा
Internal gear,आन्तरिक गियर
Interstage diaphragm,अन्तरापंदीय मध्यपट
Jet condenser,जेट द्रवणित्र
Jet pump,जैट पम्प
Jig,जिग
Kaplan Turbine,कैप्लन टरबाइन
Knocking,अभिहनन
Labyrinth packing or seal,लेबिरिथ पैकिंग
Lag,"(क) पकश्चता, (ख) ताप-रोधन"
Laminates,पटल
Laminated spring = leaf spring,"पत्ती कमानी,पत्ती स्प्रिंग"
Landing gear,अवतरण-यंत्रावली
Lantern ring,लैंटर्न वलय
Lap,"(क) चढाव, (च) लैप"
Lap joint,चढ़ाव जोड़
Lapping,लैपकरण
Lapping Machine,लैपकरण मशीन
Latent heat,गुप्त ऊष्मा
Lathe,खराद
Lathe bearer,खराद-धारक
Lathe bed,खराद-मंच
Lathe careier,"खराद वाहक,खराद कैरियर"
Lathe Centre,खराद-केन्द्रक
Lathe centre grinder,लैथ केन्द्रक-अपघर्षित्र
Lathe cheek,खराद कपोल
Lathe chuck,खराद चक्र
Lathe head,खराद-शीर्ष
Lathe planer,खराद समतलक
Lathe saddle,खराद-काठी
Lathe shears,खराद-शियर्स
Lathe standard,खराद पाद
Lathe tool,खराद औजार
Lathe work,खराद-कार्य
Lay shaft,सहायक शाफ्ट
Laying out,अभिन्यासन
Lay out man,अभिन्यास-कार्मिक
Lead,अग्रता
Lead angle,अग्रता कोण
lead line,अग्रता रेखा
Lead of valve,बाल्व-अग्रता
Lead screw,अग्रण-पेंच
Leading axle,अग्र धुरी
Leading springs,अग्र स्प्रिंग
Leaf,पत्ती
leaf spring = Laminated spring,"पत्ती कमानी,पत्ती स्प्रिंग"
leak off,अपक्षरण
left hand drill,वामहस्थ बरमा
left-hand engine,वामावर्त इंजन
left-hand screw,वामावर्त पेंच
left-hand thread,वामावर्त चूड़ी
Left-hand tool,वामहस्त ओजार
left-hand twist drill,वामहस्त मरोड-बरमा
lever chuck,लीवर चक
lever jack,लीवर जेक
lever safety valve,लीवर सुरक्षा वाल्व
Lubricant,स्नेहक द्रव्य
Machine Shop,"मशीन शाला,मशीन शॉप"
Made Circuit,तैयार परिपथ
Magazine Fuse,मेगजीन फ्यूज
Magnet Coil,"चुम्बक कॉयल,कुण्डली"
Magnet Core,चुम्बक क्रोड
Magneto ignition system,मैगनेटो प्रन्ज्चलन तंत्र
Magnet wire,चुम्बक तार
Magnetic Attraction,चुम्बकीय आकर्षण
Magnetic Cross Flux,चुम्बकीय क्रॉस फ्लक्स
Magnetic Helix,चुम्बकीय कुण्डलिनी
Magnetic key,चुम्बकीय चाबी
Magnetic shield,चुम्बकीय आवरण
Magnetic shunt,चुम्बकीय शंट
Magnetizing current of Transformer,ट्रांसफार्मर की चुम्बकन धारा
Magneto Ignition,मैगनिटो प्रज्वलन
Mains,"(1) मुख्य तार (विद्युत) , (2) मुख्यनल (जल)"
Maintenance workshop,अनुरक्षण कार्यशाला
Main shaft,मुख्य शॉफ्ट
Make impulse,प्रणोद-संपर्क
"Mandrel, expanding",प्रसारी मैंड्रल
Manual Remote control switch Boards,हस्तप्रचालित रिमोट नियंत्रण स्विच बोर्ड
Manual Repeater,हस्तप्रचालित पुनरावर्तक
Master gauge,महा प्रमापी
Master Oscillator,"मुख्य आस्सीलेटर,दोलित्र"
Master switch,मुख्य स्विच
Maximum starting current,अधिकतम प्रवर्तन धारा
Mean effective pressure,माध्य प्रभावी दाब
Mechanical characterisitc of Motor,मोटर की यांत्रिक अभिलक्षण
Mechanical circuit closer,यांत्रिक परिपथ बंधक
Mechanical efficiency,यांत्रिक दक्षता
Mechanical seal,यांत्रिक सील
Medium force fit,"मध्यम बलात्‌ फिट, अन्वायोजन"
Megger,मेगर
Megger Testing set,मेगर परीक्षण सैट
Megline,मेग लाइन
Megohm,मेग ओम
Megohmit,म्रेगओमिट
Melting section,गलन अनुभाग
Mercury switch,पारद-स्विच
Metallic Packing,धातुक पैकिंग
Milling,भ्रमि कर्तन
Milling cutter,भ्रमि कर्तक
Milling Machine,भ्रमिकर्तन मशीन
Mitre gear,माइटर गरारी
Mixed flow pump,मिश्र प्रवाह पम्प
Mixed flow turbine,मिश्रित प्रवाह टरबाइन
Module,मॉड्यूल
Moulding section,सांचा उपशाला
Mouth piece,मुखिका
Multistage pump,बहुपद पम्प
Needle lubricator,सूची स्नरेहक
Needle valve,सूची वाल्व
Negative lead,ऋणात्मक अग्रता
Neutral Gear,न्यूटूल गियर
Nominal Horse-Power,अभिहित अश्व शक्ति
Non-Condensing Engine,अद्रवण इंजन
Non return valve,अनिवर्ती बाल्व
Normal Pitch,अभिलंब अंतराल
Normally Aspirated Engine,सामान्यतया वायु चूषक इंजन
Notched-bar test,खांचित-छड़ परीक्षण
Notching,"(1) खांचकरण,खांचा"
Notches,नाँच (तरल यांत्रिकी)
Odontometer,ओडन्टोमीटर
Obliquity of Connecting-Rod,संयोजी दंड का झुकाव
Oil-Engine,तेल-इंजन
Oil Feed,तेल-प्रभरक
Oil Groove,तेल-खांचा
Oilness,तैलता
Oil Pump,तेल पम्प
"Oil sump,tank","तेल टंकी,सम्प"
Oil-sealing Ring,तेल-सील वलय
"Oiling Ring,Oil thrower Ring",तेल क्षेपक वलय
Oldham Coupling,ओल्ढैम युग्मक
Open Belt Drive,खुला पट्टा चालन
Opening Die,खुली डाई
Opposed-Cylinder Engine,विपरीत-सिलिण्डर इंजन
Opposed Piston Engine,सम्मुखी पिस्टन इंजन
Optical Tooling,प्रकाशीय उपकरण
Otto cycle,आटो चक्र
Otto Engine,आटो इंजन
Out of Gear,गियर-विमिलन
Outside Crank,बाहय क्रैंक
Outside Diameter,बाह्य व्यास
Outside lap,बाह्य चढाव
Out Stroke,बाह्य स्ट्रोक
Oval chuck,अंडाकार चक
Oval Hole cutting,अण्डाकार छिद्र कर्तन
Overall efficiency,सर्वांग दक्षता
Over hanging Pulley,प्रलंम्बित धिरानी
Overhanging Shaft,प्रलंम्बित  शॉफ्ट
Over head Camshaft,शिरोपरि कैमशॉफ्ट
Over head valve,शिरोपरि वाल्व
Overshot water wheel,अध्याह्त जल पहिया
Packing,पैकिंग
Parallel flow condenser,समान्तर-प्रवाह द्रवणित्र
Painting shop,पेंट-शाला
Parting off Tool,विभाजक-औजार
Pattern making shop,पैटर्न कार्यशाला
Pawl-Feed,कुत्ता-प्रभरण
Pelton Turbine,पेल्टन टरबाइन
Penstock,पातनल
piercing,वेधन
piercing punch,वेधन पंच
Pilger Mill,पिल्जर मिल
Pilot Valve,पायलट वाल्व
Pin Wheel Gear,पिन चक्र गियर
Piston Ring,पिस्टन वलय
Piston Rod,पिस्टन दण्ड
Piston Rod Gland,पिस्टन दंड ग्लैण्ड
Piston slap,पिस्टन-चपत
Piston speed,पिस्टन चाल
Piston Valve,पिस्टन वाल्व
Pitch Angle,अन्तराल कोण
Pitch Circle,अन्तराल-वृत्त
Pitch Cones,अन्तराल शंकु
Pitch Control,अन्तराल नियंत्रण
Pitch curves,अन्तराल वृत्त
Pitch Cylinder,अन्तराल सिलिण्डर
Pitch Diameter,अन्तराल व्यास
Pitch line,अन्तराल रेखा
Pitch Plane,अन्तराल समतल
Pitch Point,अन्तराल बिन्दु
Pitch setting,अन्तराल समायोजन
Pitch surface,अन्तराल-पृष्ठ
Pit-head Gear,गर्त-हैड गियर
Pitot tube,पिटो नलिका
Pit wheel,गर्त पहिया
Planer Centre,समतलित्र-केन्द्रक
Planet wheel,ग्रह पहिया
Planetary Gear,ग्रहीय गियर
Planing,समतलन
Planing Machine,समतलक मशीन
Planishing hammer,घातचिपिटक घन
Planning section,योजना कक्ष
Pneumatic Drill,वायुचालित बरमा
Point chuck,सूच्यग्र-चक
Positive displace Pump,निश्चित विस्थापन पम्प
Polytropic expansion,"पॉलीट्रोपिक प्रसरण,बहुविधि प्रसारण"
Potential energy,स्थितिज ऊर्जा
Power driven pump,शक्ति चालित पम्प
Power Hammer,शक्ति हथोडा
Pre-ignition,पूर्व-प्रज्वलन
Pre-selector Gear-box,पूर्व-निर्धारक गियर-बॉक्स
Pressure and velocity compounding (In Turbine),दबाब तथा वेग संयोजन
Pressure compounding (In Turbine),दाब संयोजन
Pressure lubricator,दाब स्त्रेहक
Priming,प्राइमन
Production Engineer,उत्पादन इंजीनियर
Production workshop,उत्पादन कार्यशाला
Propeller Blade,नोदक ब्लेड
Propeller Efficiency,नोदक दक्षता
Propeller Fan,नोदक पंखा
Propeller shaft,नोदक शाफ्ट
Pump,पम्प
Pump stage,पम्प पद
Pumping machinery,पम्पिंग मशीनें
Punch,"पंच,छिद्रक"
Punching,छिद्रण
Qualitative governing,गुणात्मक अधिनियंत्रण
Quantitative governing,मात्रात्मक अधिनियंत्रण
Quarter-turn Belt Drive,चतुर्थाश मरोड पट्टा चालन
Quenching baths,मज्जशीतक कुण्ड
Quick Gear,तीव्र गियर
Quick Return,तीव्र वापसी
Radially inwarc flow Turbine,त्रिज्यीय अंतर्मुख प्रवाह टरबाइन
Radially Outward flow turbine,त्रिज्यीय बहिर्मुख प्रवाह टरबाइन
Radial drilling machine,त्रिज्य बरमा मशीन
Radial system,त्रिज्य तंत्र
Ratio meter,अनुपात मापी
Reactance drop,प्रतिघात पात
Reactance voltage,प्रतिघात विभव
Reaction Turbine,प्रतिक्रिया टरबाइन
Reactive factor,प्रतिघाती गुणक
Reactive load,भ्रतिघाती भार
Reactor,"रियिक्टर,प्रतिघातित्र"
Reaming,अधिछिद्रण
Reciprocity theorem,व्युदकम्रता प्रमेय
Reclamation Section,उद्धार कक्ष
Re-entrant Or Borda’s mouth piece,अंतः प्रविष्ठ या बोर्डा मुखिका
Relative coefficient of performance,सापेक्ष निष्यादन गुणांक
Relative efficiency,सापेक्ष दक्षता
Repair workshop,सुधार कार्यशाला
"rest, follow",अनुगामी टेक
"rest, roller",रोलर टेक
Right Angle Belt Drive,समकोण-पट्टा चालन
Right hand drill,दक्षिणावर्ती बरमा
Ring lubricator,बलय स्त्रेहक
Rivetting shop,रिवेटन शाला
Roller Chain,रोलर चेन
Roll forging,"वेल्लक फोर्जन,रोल फोर्जन"
Root Diameter,मूल व्यास
Runner,चक्राल
Running Free (mouthpiece),मुक्त प्रवाह
Running Full,पूर्ण प्रवाह
Safety valve,सुरक्षा वाल्व
Sectionalized busbar,विभागीकृत बसबार
Seeback effect,जैबेक प्रभाव
Self excitation,स्वतः उत्तेजन
Selenium rectifier,सेलेनियम दिष्टकारी
Self-levelling device,स्वतः समतलक युक्ति
Self starting synchronous motor,स्वतः प्रवर्ती तुल्यकाली मोटर
Semi-open impellor,अर्ध विवृत नोदक
Sensible heat,संवेद्य ऊष्मा
Series characteristic Motor,श्रेणी अभिलक्षण मोटर
Servomotor,सर्वो मोटर
Shaping,संरूपण
Shaping Machine,संसूपण मशीन
Shaving,संकर्तन
Sheet metal shop,धातु चादर शाला
Silent chain,नीरव चेन
Single acting pump,एकल-क्रिय पंप
Single flute drill,एकल नली बरमा
Single helical gear,एकल कुण्डलित गियर
Single suction pump,एकल-चूषण पंप
Snug fit,"निकटतम अन्वायोजन,स्नग फिट"
Spark Ignition Engine,स्फुलिंग-प्रज्वलन-इंजन
Spark Plug,स्कुलिंग प्लग
Spear head,कुंताग्र
Specific speed (pump),विशिष्ट चाल (पंप)
Speed Cones,गति शंकु
Spiral casing,सर्पिल कोश
Spiral gear,सर्पिल गियर
Splash lubricator,उच्छाल स्रेहक
Spring loaded safety valve,स्प्रिंग भारित सुरक्षा वाल्व
Spring washer,स्प्रिग-वाशर
Spur Gear,स्पर गियर
Standard size,"मानक आमाप,मानक साइज"
Steam Injector,भाप अन्तः क्षेपक
Steam Jet draught,भाप जेट प्रवात
Storage reservoir,संचायक जलाशय
Stud,स्टड
Stud wheel,स्टड पहिया
Thermo couple Generator,तापयुग्म जनित्र
Thermodynamics,ऊष्मागतिकी
Thermopile,ताप-बैद्युत पुंज
Thompson effect,टॉमसन प्रभाव
Three-Ammeter method,त्रि-एमीटर विधि
Three flute drill,त्रि-नाली बरमा
Three-phase system,त्रि-फेज तंत्र
Three-wire system,त्रि-तार तंत्र
Throat bushing,कंठ-बुश
Throttling,उपरोधन
Thrust,प्रणोद
Thrust Bearing,प्रणोद बेयरिंग
Thury system,थूरी-तंत्र
Thyristor,थाइरिस्टर
Tie line,वितरण-तंत्र में अन्तः सम्बधन लाइन ।
Time Constant,समय स्थिरांक
Time Office,समय-कार्यालय
Time Recovery,प्राप्त-काल
T-Network,T जाल
Tooth space,दंत अवकाश
Tooth thickness,दन्त मोटाई
Torque amplifier,बलाघूर्ण प्रवर्धक
Torque Motor,बलाघूर्ण मोटर
Total break time,कुल वियोजन समय
Total heat,"एन्थाल्पी,कुल ऊष्मा"
Transducer,ट्रांसड्यूसर
Transfer admittance,अन्तरित प्रवेश्यता
Transfer impedance,अन्तरित प्रतिब्राधा
Transfer switch,अन्तरक स्विच
Transformation Ratio,परिणमन अनुपात
Transformer tank,ट्रॉसफार्मर-टंकी
Transient Reactance,क्षणिक प्रतिधारा
Transient stability,क्षणिक स्थायित्व
Transmission line,संचरण लाइन
Travelling Cable,चल केबिल
Trunk feeder,"ट्रंक फीडर,ट्रंक प्रदायक"
Tuned Circuit,समस्वरित परिपथ
Turbine Governing,टरबाइन अधिनियंत्रण
Turbo-alternator,टर्बो-प्रत्यावर्तित्र
Turnery,खरादन
Turning,खरादन
Turning gauge,वर्तन-प्रमापी
Turnings,छीलन
Turning tool,खरादी-ओजार
Turret lathe,टरेट खराद
Two flute drill,द्विनाली बरमा
Under shot wheel,अधः हत पहिया
Vane pump,फलक पम्प
Vane,फलक
Vapour absorption refrigerator,वाध्य अवशोषण प्रशातक
Vapour compression refrigerator,वराष्य संपीडन प्रशीतक
Velocity compounding (In Turbine),वेग संयोजन
Velocity head,वेग दाबोच्चता
Vertical pump,ऊरध्वाधिर पम्प
Viscosity,श्यानता
Volute,सर्पिल
Volute chamber,केन्द्रज कक्ष
Vortex,भ्रमिल
Vortex chamber,भ्रमिल कक्ष
Waste Product,बेकार पदार्थ
Water Cooling,(जल शीतन)
Water Cooling (gravity-method),जल शीतन (गुरुत्व विधि)
Water cooling (Thermo syphen system),जल शीतन (ताप साइफन विधि)
Water tube boiler,जल नलिका बॉयलर
Water Turbine,जल टरबाइन
Water wheel,"जल पहिया,चक्र"
Wearing rings,निघर्षण वलय
Weirs,वीयर
Welding shop,वेल्ड शाला
Wet sump system,अन्तः निगर्त विधि
Whirl,आवर्त
Whole depth,सम्पूर्ण गहराई (गियर)
Wick lubricator,बत्ती स्नेहक
Wicket gates,उपद्वार
Wire Rope,तार सस्से
Working depth (In gears),कार्यकारी गहराई
Workshop Administration,कार्यशाला प्रशासन
Workshop layout,कार्यशाला अंभिन्यास
Work shop Superintendent,कार्यशाला अधीक्षक
Work shop Technology,कार्यशाला औद्योगिकी
